model_id,model,data_path,target,seed,seq_len,label_len,pred_len,d_model,n_heads,e_layers,d_layers,d_ff,dropout,loss,params,params_M,model_size_MB,test_loss_norm,mae_norm,rmse_norm,mape_norm,mae,rmse,mape,train_time_sec,test_time_sec,inference_time_per_sample_ms,checkpoint,loss_curve
GEF_all_LSTM_seed2024,LSTM,./GEF.csv,all,2024,168,48,24,256,8,2,1,512,0.1,mse,812104,0.812104,3.097930908203125,0.2569707650691271,0.33652455,0.5137782,174.16008,104.21994,160.71338,232780140.0,19.56759524345398,0.0985894203186035,0.0133373133547894,./checkpoints_baselines\GEF_all_LSTM_seed2024\best_model.pth,./results_baselines\GEF_all_LSTM_seed2024\loss_curve.png
GEF_all_TCN_seed2024,TCN,./GEF.csv,all,2024,168,48,24,256,8,2,1,512,0.1,mse,218952,0.218952,0.835235595703125,0.2636627908796072,0.3396069705486297,0.5200160145759583,176.12130737304688,108.6345672607422,174.0721893310547,247157792.0,33.7944118976593,0.0830755233764648,0.0112385718853442,./checkpoints_baselines\GEF_all_TCN_seed2024\best_model.pth,./results_baselines\GEF_all_TCN_seed2024\loss_curve.png
GEF_all_Transformer_seed2024,Transformer,./GEF.csv,all,2024,168,48,24,256,8,2,1,512,0.1,mse,1848835,1.848835,7.052745819091797,0.2566355783492327,0.3355544507503509,0.5124870538711548,167.1385498046875,106.22602081298828,166.32882690429688,325549440.0,69.56549739837646,0.3217296600341797,0.0435240340955329,./checkpoints_baselines\GEF_all_Transformer_seed2024\best_model.pth,./results_baselines\GEF_all_Transformer_seed2024\loss_curve.png
GEF_all_Informer_seed2024,Informer,./GEF.csv,all,2024,168,48,24,256,8,2,1,512,0.1,mse,2045187,2.045187,7.801769256591797,0.3074715249240398,0.3746727406978607,0.564276397228241,196.25119018554688,119.80484771728516,185.6829071044922,362989888.0,292.4934387207031,2.0328946113586426,0.2750127991556605,./checkpoints_baselines\GEF_all_Informer_seed2024\best_model.pth,./results_baselines\GEF_all_Informer_seed2024\loss_curve.png
GEF_all_LSTM_seed2024,LSTM,./GEF.csv,all,2024,168,48,24,256,8,2,1,512,0.1,mse,812104,0.812104,3.097930908203125,0.2569707650691271,0.3365245461463928,0.5137782096862793,174.1600799560547,104.21994018554688,160.71337890625,232780144.0,19.71092796325684,0.0970134735107421,0.0131241170874921,./checkpoints_baselines\GEF_all_LSTM_seed2024\best_model.pth,./results_baselines\GEF_all_LSTM_seed2024\loss_curve.png
GEF_all_DLinear_seed2024,DLinear,./GEF.csv,all,2024,168,48,24,256,8,2,1,512,0.1,mse,8112,0.008112,0.03094482421875,0.2685733996331692,0.3361935615539551,0.5259457230567932,155.22964477539062,100.04522705078124,155.5185089111328,367570304.0,9.754339933395386,0.0462634563446044,0.0062585844622029,./checkpoints_baselines\GEF_all_DLinear_seed2024\best_model.pth,./results_baselines\GEF_all_DLinear_seed2024\loss_curve.png
GEF_all_iTransformer_seed2024,iTransformer,./GEF.csv,all,2024,168,48,24,256,8,2,1,512,0.1,mse,1103640,1.10364,4.210052490234375,0.2673568930476904,0.3386601209640503,0.524462103843689,165.57420349121094,101.8825225830078,157.04925537109375,350190144.0,3.681558132171631,0.0550012588500976,0.0074406464894612,./checkpoints_baselines\GEF_all_iTransformer_seed2024\best_model.pth,./results_baselines\GEF_all_iTransformer_seed2024\loss_curve.png
GEF_all_PatchTST_seed2024,PatchTST,./GEF.csv,all,2024,168,48,24,256,8,2,1,512,0.1,mse,1085256,1.085256,4.139923095703125,0.2544600870460272,0.3341874778270721,0.507684588432312,164.6558074951172,99.52606201171876,151.83473205566406,325662688.0,7.706773281097412,0.0655043125152587,0.0088615141389689,./checkpoints_baselines\GEF_all_PatchTST_seed2024\best_model.pth,./results_baselines\GEF_all_PatchTST_seed2024\loss_curve.png
GEF_all_TimeMixer_seed2024,TimeMixer,./GEF.csv,all,2024,168,48,24,256,8,2,1,512,0.1,mse,624333,0.624333,2.381641387939453,0.2927895784378052,0.3816730976104736,0.548285961151123,191.92417907714844,123.54080200195312,189.844955444336,622169472.0,38.91841793060303,0.1120119094848632,0.0151531262831254,./checkpoints_baselines\GEF_all_TimeMixer_seed2024\best_model.pth,./results_baselines\GEF_all_TimeMixer_seed2024\loss_curve.png
GEF_all_FEDformer_seed2024,FEDformer,./GEF.csv,all,2024,168,48,24,256,8,2,1,512,0.1,mse,2629123,2.629123,10.029308319091797,0.5396046787500381,0.5621368288993835,0.7431697845458984,265.71246337890625,226.7910614013672,388.3237609863281,1009857216.0,159.10406064987183,0.3401563167572021,0.0460168177431279,./checkpoints_baselines\GEF_all_FEDformer_seed2024\best_model.pth,./results_baselines\GEF_all_FEDformer_seed2024\loss_curve.png
GEF_all_TimesNet_seed2024,TimesNet,./GEF.csv,all,2024,168,48,24,256,8,2,1,512,0.1,mse,885762,0.885762,3.3789138793945312,0.4277107790112495,0.4612809419631958,0.6597175002098083,202.66354370117188,135.31146240234375,194.3920135498047,873309504.0,1643.604777097702,4.054861783981323,0.5485473192615427,./checkpoints_baselines\GEF_all_TimesNet_seed2024\best_model.pth,./results_baselines\GEF_all_TimesNet_seed2024\loss_curve.png
GEF_all_Autoformer_seed2024,Autoformer,./GEF.csv,all,2024,168,48,24,256,8,2,1,512,0.1,mse,1845763,1.845763,7.041027069091797,0.6129275783896446,0.5915067195892334,0.7931585311889648,255.1968536376953,238.29913330078125,411.84661865234375,736717248.0,8033.729865789413,4.477663993835449,0.6057445879106398,./checkpoints_baselines\GEF_all_Autoformer_seed2024\best_model.pth,./results_baselines\GEF_all_Autoformer_seed2024\loss_curve.png
GEF_all_LSTM_seed2025,LSTM,./GEF.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,812104,0.812104,3.097930908203125,0.2562445029616356,0.3330683708190918,0.5130664706230164,171.99038696289062,103.03340911865234,159.48626708984375,233084944.0,19.49642562866211,0.097546100616455,0.0131961716201914,./checkpoints_baselines\GEF_all_LSTM_seed2025\best_model.pth,./results_baselines\GEF_all_LSTM_seed2025\loss_curve.png
GEF_all_TCN_seed2025,TCN,./GEF.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,218952,0.218952,0.835235595703125,0.2649121638387441,0.3410685658454895,0.5208972096443176,169.4447021484375,108.9596176147461,174.53842163085938,254204624.0,33.83908486366272,0.082266092300415,0.0111290709280864,./checkpoints_baselines\GEF_all_TCN_seed2025\best_model.pth,./results_baselines\GEF_all_TCN_seed2025\loss_curve.png
GEF_all_Transformer_seed2025,Transformer,./GEF.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,1848835,1.848835,7.052745819091797,0.2657698802649975,0.337063193321228,0.5230024456977844,173.37420654296875,103.41958618164062,162.09295654296875,246568000.0,73.05497121810913,0.3252360820770263,0.0439983877268704,./checkpoints_baselines\GEF_all_Transformer_seed2025\best_model.pth,./results_baselines\GEF_all_Transformer_seed2025\loss_curve.png
GEF_all_Informer_seed2025,Informer,./GEF.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,2045187,2.045187,7.801769256591797,0.3046681061387062,0.3659697473049164,0.5622894763946533,184.92941284179688,118.75880432128906,194.06072998046875,386546816.0,231.0163049697876,2.142373561859131,0.2898232632385188,./checkpoints_baselines\GEF_all_Informer_seed2025\best_model.pth,./results_baselines\GEF_all_Informer_seed2025\loss_curve.png
GEF_all_DLinear_seed2025,DLinear,./GEF.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,8112,0.008112,0.03094482421875,0.2681214828044176,0.335087239742279,0.5255082249641418,155.27267456054688,99.41761016845705,154.45823669433594,364272608.0,9.52784776687622,0.0446882247924804,0.0060454849556927,./checkpoints_baselines\GEF_all_DLinear_seed2025\best_model.pth,./results_baselines\GEF_all_DLinear_seed2025\loss_curve.png
GEF_all_iTransformer_seed2025,iTransformer,./GEF.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,1103640,1.10364,4.210052490234375,0.2662689909338951,0.337171733379364,0.5243525505065918,166.1605682373047,100.95800018310548,154.1740264892578,373500096.0,3.646559000015259,0.0528733730316162,0.0071527831482164,./checkpoints_baselines\GEF_all_iTransformer_seed2025\best_model.pth,./results_baselines\GEF_all_iTransformer_seed2025\loss_curve.png
GEF_all_PatchTST_seed2025,PatchTST,./GEF.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,1085256,1.085256,4.139923095703125,0.2498730514198541,0.3279899358749389,0.5047577023506165,156.18678283691406,96.46685028076172,147.5097198486328,304453312.0,8.695068597793579,0.0657284259796142,0.0088918325188872,./checkpoints_baselines\GEF_all_PatchTST_seed2025\best_model.pth,./results_baselines\GEF_all_PatchTST_seed2025\loss_curve.png
GEF_all_TimeMixer_seed2025,TimeMixer,./GEF.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,624333,0.624333,2.381641387939453,0.2955864332616329,0.3818601667881012,0.550358235836029,193.91294860839844,122.47917175292967,187.00613403320312,663446272.0,39.15614557266235,0.1101717948913574,0.0149041930318394,./checkpoints_baselines\GEF_all_TimeMixer_seed2025\best_model.pth,./results_baselines\GEF_all_TimeMixer_seed2025\loss_curve.png
GEF_all_FEDformer_seed2025,FEDformer,./GEF.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,2629123,2.629123,10.029308319091797,0.533373536542058,0.5590060353279114,0.7374975681304932,237.6949005126953,219.31163024902344,375.2535705566406,1142343552.0,183.2059359550476,0.3356218338012695,0.0454033866073146,./checkpoints_baselines\GEF_all_FEDformer_seed2025\best_model.pth,./results_baselines\GEF_all_FEDformer_seed2025\loss_curve.png
GEF_all_TimesNet_seed2025,TimesNet,./GEF.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,885762,0.885762,3.3789138793945312,0.417660191655159,0.4563470780849457,0.652439534664154,193.9327545166016,133.95208740234375,193.03240966796875,848647616.0,1685.2016637325287,4.191246271133423,0.56699760161437,./checkpoints_baselines\GEF_all_TimesNet_seed2025\best_model.pth,./results_baselines\GEF_all_TimesNet_seed2025\loss_curve.png
GEF_all_Autoformer_seed2025,Autoformer,./GEF.csv,all,2025,168,48,24,256,8,2,1,512,0.1,mse,1845763,1.845763,7.041027069091797,0.5448848269879818,0.5599038004875183,0.7481815814971924,239.38555908203125,215.29275512695312,361.8653869628906,790462528.0,7165.107062101364,4.628493070602417,0.6261489543563876,./checkpoints_baselines\GEF_all_Autoformer_seed2025\best_model.pth,./results_baselines\GEF_all_Autoformer_seed2025\loss_curve.png
GEF_all_LSTM_seed2026,LSTM,./GEF.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,812104,0.812104,3.097930908203125,0.2539788503199816,0.3285715579986572,0.5103745460510254,164.80557250976562,99.35172271728516,153.23129272460938,219083008.0,22.60358762741089,0.0972466468811035,0.0131556611040453,./checkpoints_baselines\GEF_all_LSTM_seed2026\best_model.pth,./results_baselines\GEF_all_LSTM_seed2026\loss_curve.png
GEF_all_TCN_seed2026,TCN,./GEF.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,218952,0.218952,0.835235595703125,0.2628236375749111,0.3391803801059723,0.5195500254631042,174.40330505371094,108.36122131347656,173.56845092773438,245140144.0,34.738678216934204,0.0860226154327392,0.0116372585812688,./checkpoints_baselines\GEF_all_TCN_seed2026\best_model.pth,./results_baselines\GEF_all_TCN_seed2026\loss_curve.png
GEF_all_Transformer_seed2026,Transformer,./GEF.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,1848835,1.848835,7.052745819091797,0.2489471025764942,0.3215604722499847,0.505652129650116,167.3252410888672,98.4337158203125,154.71470642089844,162881456.0,77.59142398834229,0.3236236572265625,0.0437802566594375,./checkpoints_baselines\GEF_all_Transformer_seed2026\best_model.pth,./results_baselines\GEF_all_Transformer_seed2026\loss_curve.png
GEF_all_Informer_seed2026,Informer,./GEF.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,2045187,2.045187,7.801769256591797,0.2833955101668834,0.349220335483551,0.5392556190490723,180.8428955078125,111.75955200195312,180.36798095703125,232017072.0,213.16449618339536,2.157709836959839,0.2918979757791989,./checkpoints_baselines\GEF_all_Informer_seed2026\best_model.pth,./results_baselines\GEF_all_Informer_seed2026\loss_curve.png
GEF_all_DLinear_seed2026,DLinear,./GEF.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,8112,0.008112,0.03094482421875,0.2681645024567842,0.3352105617523193,0.5254738926887512,154.40765380859375,99.33914184570312,154.3358612060547,366265216.0,9.768011331558228,0.0480303764343261,0.006497615859622,./checkpoints_baselines\GEF_all_DLinear_seed2026\best_model.pth,./results_baselines\GEF_all_DLinear_seed2026\loss_curve.png
GEF_all_iTransformer_seed2026,iTransformer,./GEF.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,1103640,1.10364,4.210052490234375,0.2643707487732172,0.3341487646102905,0.5222988128662109,165.745361328125,99.07467651367188,151.38429260253906,360635808.0,3.897501230239868,0.0535275936126709,0.0072412870147011,./checkpoints_baselines\GEF_all_iTransformer_seed2026\best_model.pth,./results_baselines\GEF_all_iTransformer_seed2026\loss_curve.png
GEF_all_PatchTST_seed2026,PatchTST,./GEF.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,1085256,1.085256,4.139923095703125,0.2459143791347742,0.3233107328414917,0.501422643661499,160.31298828125,96.68721771240234,149.00787353515625,307490144.0,7.759371042251587,0.0675563812255859,0.0091391208367946,./checkpoints_baselines\GEF_all_PatchTST_seed2026\best_model.pth,./results_baselines\GEF_all_PatchTST_seed2026\loss_curve.png
GEF_all_TimeMixer_seed2026,TimeMixer,./GEF.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,624333,0.624333,2.381641387939453,0.2975647281855345,0.3852696120738983,0.552818238735199,193.96278381347656,123.9950942993164,189.3046112060547,660543296.0,39.098565101623535,0.1573221683502197,0.021282760869889,./checkpoints_baselines\GEF_all_TimeMixer_seed2026\best_model.pth,./results_baselines\GEF_all_TimeMixer_seed2026\loss_curve.png
GEF_all_FEDformer_seed2026,FEDformer,./GEF.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,2629123,2.629123,10.029308319091797,0.508287725970149,0.5367835760116577,0.7205002903938293,241.95233154296875,213.3748779296875,371.1436767578125,908564416.0,171.11958122253418,0.3374409675598144,0.0456494815421826,./checkpoints_baselines\GEF_all_FEDformer_seed2026\best_model.pth,./results_baselines\GEF_all_FEDformer_seed2026\loss_curve.png
GEF_all_TimesNet_seed2026,TimesNet,./GEF.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,885762,0.885762,3.3789138793945312,0.4249518141150474,0.4602236151695251,0.6566781997680664,199.84071350097656,137.55911254882812,198.96682739257807,870651072.0,1665.2746977806091,4.147761344909668,0.5611149005559616,./checkpoints_baselines\GEF_all_TimesNet_seed2026\best_model.pth,./results_baselines\GEF_all_TimesNet_seed2026\loss_curve.png
GEF_all_Autoformer_seed2026,Autoformer,./GEF.csv,all,2026,168,48,24,256,8,2,1,512,0.1,mse,1845763,1.845763,7.041027069091797,0.5450166910886765,0.564936637878418,0.7477397322654724,231.39512634277344,223.49969482421875,374.3403015136719,737731456.0,10035.88947558403,4.685760974884033,0.6338962357797664,./checkpoints_baselines\GEF_all_Autoformer_seed2026\best_model.pth,./results_baselines\GEF_all_Autoformer_seed2026\loss_curve.png
